x,y,time,x_f,y_f
335,193,1688676276.3256755,435.2290563149266,143.2502243910899
307,184,1688676276.4370859,430.14280122956154,140.2824569607462
436,185,1688676276.5631826,425.1006401051667,137.8976741907026
509,173,1688676276.6862795,420.57101086135805,136.02066737998774
548,172,1688676276.803926,416.98614980832923,134.57385088296428
593,151,1688676276.9199467,414.5545309071571,133.46918333012695
581,191,1688676277.0462205,413.340287209875,132.67273028655774
613,199,1688676277.166933,413.2999853549293,132.25479548441876
654,306,1688676277.2811775,414.4464443616511,132.4165988623565
681,320,1688676277.400404,416.85445101047225,133.441650237435
704,336,1688676277.5180357,420.5498646254795,135.45413579648124
719,398,1688676277.651903,425.5043681403287,138.49644253330646
718,423,1688676277.757696,431.63255272074053,142.68390701674747
755,446,1688676277.8785572,438.8481985702449,148.06910488193085
692,490,1688676278.005989,447.0092378577031,154.66278732424513
707,457,1688676278.1159809,455.8600540618414,162.41333427849412
720,457,1688676278.2479029,465.2469446226958,171.1213970726981
744,479,1688676278.3613086,475.153674653309,180.6191043897009
763,380,1688676278.4832294,485.5846322067656,190.68721906724213
771,402,1688676278.5989058,496.5260351174382,200.9813149215434
802,384,1688676278.7159173,507.9567073746524,211.31046735998217
792,322,1688676278.8483028,519.8460535695029,221.49924971025104
797,328,1688676278.9716063,532.099602151849,231.30368834513132
738,261,1688676279.0838966,544.520901420761,240.53555204233723
696,213,1688676279.2060924,556.7926618685361,248.94340495727417
647,234,1688676279.3283665,568.5777009372489,256.3568716606707
600,286,1688676279.4526823,579.584493927465,262.9045400585898
526,326,1688676279.5579798,589.5128398717892,268.88073509910396
453,415,1688676279.6944547,598.0257911451428,274.6341273343784
473,353,1688676279.7959301,604.929695290028,280.38284240991345
525,378,1688676279.915932,610.3812923968324,286.07907221405105
539,324,1688676280.0438514,614.7035308834013,291.59837071480604
567,339,1688676280.1662633,618.1480655165531,296.827498100795
631,301,1688676280.285604,620.9832645606684,301.6756154098671
658,283,1688676280.3991256,623.5245483970697,306.038789599408
684,260,1688676280.5217197,625.998769256442,309.80051640328014
690,314,1688676280.6351626,628.5229271673749,312.9874326210906
654,365,1688676280.7660563,631.0799137884368,315.84046322442674
647,330,1688676280.8789816,633.5444385059719,318.555172749556
620,333,1688676280.996484,635.7990834563612,321.10680148881363
619,362,1688676281.1172192,637.7619761027897,323.4975726305041
612,425,1688676281.2375736,639.3996301285231,325.9119378940952
651,395,1688676281.3686273,640.7718206470521,328.51626116757376
786,374,1688676281.5176737,642.2000112864796,331.24894996932034
791,412,1688676281.6170168,644.12960230844,334.0307207689721
767,402,1688676281.750546,646.6736515635565,336.90599343272845
730,300,1688676281.8686006,649.6354805271213,339.72512513392587
743,289,1688676282.008852,652.8293454076999,342.1481451829833
689,315,1688676282.1545532,656.1169707885408,344.0590965018145
